article_w_version,model_name,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
3-SF renewed-sweeps_avg,llama-3.1-405b-instruct,0.39999999999999997,0.6247252747252746,0.25,0.5118131868131869,0.5118131868131869,0.8158730158730159,0.5118131868131869,0.34313186813186813,0.47719780219780217,0.19166666666666668,0.6,0.07582905982905983,9.6,5.0,2.0,26.0
30-la-lower-rent-hikes_avg,llama-3.1-405b-instruct,0.3405405405405405,0.8560130718954249,0.2918918918918919,0.4911764705882353,0.4911764705882353,0.5704545454545455,0.5111764705882353,0.1677777777777778,0.1677777777777778,0.05405405405405406,0.6594594594594595,0.12579552230715021,12.6,7.2,5.4,42.4
31-SV-GT-vermont_bill_avg,llama-3.1-405b-instruct,0.46399999999999997,0.9198039215686273,0.42399999999999993,0.886470588235294,0.886470588235294,0.9636363636363636,0.9198039215686273,0.30189542483660137,0.4996732026143791,0.376,0.536,0.0,11.6,10.6,0.0,25.0
32-openai_board_avg,llama-3.1-405b-instruct,0.5647058823529412,0.23994949494949497,0.1411764705882353,0.836010101010101,0.22176767676767675,0.95,0.836010101010101,0.7164646464646465,0.7996464646464646,0.0588235294117647,0.4352941176470588,0.1123642439431913,9.6,2.2,2.2,19.2
33-human-border_patrol_towers_avg,llama-3.1-405b-instruct,0.4428571428571429,0.919047619047619,0.40714285714285714,0.7571428571428571,0.7571428571428571,0.8237762237762238,0.7571428571428571,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5571428571428572,0.11370967741935485,12.4,10.4,3.6,31.6
34-human-ca_guanranteed_income_avg,llama-3.1-405b-instruct,0.3703703703703704,0.9733333333333334,0.3555555555555555,0.9733333333333334,0.9733333333333334,1.0,0.9733333333333334,0.41809523809523813,0.41809523809523813,0.22962962962962963,0.6296296296296295,0.09636363636363636,10.0,9.0,3.0,30.0
4-SFO-Labor-Day_avg,llama-3.1-405b-instruct,0.82,0.9777777777777779,0.8,0.9777777777777779,0.9777777777777779,1.0,0.9777777777777779,0.06666666666666667,0.5866666666666667,0.42000000000000004,0.18,0.1116883116883117,8.2,8.0,1.4,11.4
5-Humboldt-SF-homeless-bus_avg,llama-3.1-405b-instruct,0.45,0.5266666666666666,0.2333333333333333,0.7366666666666666,0.44666666666666666,0.9,0.7366666666666666,0.07333333333333333,0.42000000000000004,0.19999999999999998,0.55,0.09010989010989011,5.4,2.6,1.2,13.2
6-OUSD-basic-job_avg,llama-3.1-405b-instruct,0.36000000000000004,0.9846153846153847,0.35200000000000004,0.823076923076923,0.823076923076923,0.8333333333333333,0.7230769230769231,0.3769230769230769,0.6923076923076923,0.2,0.6400000000000001,0.007692307692307693,9.0,6.2,0.2,25.2
7-District7-Candidate-Sues_avg,llama-3.1-405b-instruct,0.2761904761904762,0.9166666666666667,0.2571428571428571,0.8166666666666667,0.8166666666666667,0.8933333333333333,0.8166666666666667,0.15,0.27,0.16190476190476186,0.7238095238095239,0.13403466099118272,5.8,4.4,3.6,24.6
8-primary-recount-complete_avg,llama-3.1-405b-instruct,0.6,1.0,0.6,1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.4,0.0,3.0,3.0,0.0,5.0
9-steph-curry-gold_avg,llama-3.1-405b-instruct,0.4666666666666666,1.0,0.4666666666666666,1.0,1.0,1.0,1.0,0.2,0.2,0.3555555555555555,0.5333333333333334,0.09636363636363636,4.2,4.2,1.0,10.0
1-Harris-Trump-Reuters-Poll_avg,deepseek-chat,0.6,0.2219271469271469,0.13333333333333333,0.7024114774114775,0.2219271469271469,1.0,0.7024114774114775,0.1475986975986976,0.1475986975986976,0.11666666666666665,0.39999999999999997,0.06791517661082878,12.0,2.6666666666666665,1.5,21.5
10-Nebraska-voting-rights_avg,deepseek-chat,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.30043290043290044,6.0,5.0,3.6666666666666665,11.666666666666666
11-Nebraska-felons-crim-justice_avg,deepseek-chat,0.75,0.8166666666666667,0.6125,0.7166666666666666,0.5833333333333333,0.7147435897435898,0.7166666666666666,0.5666666666666667,0.7333333333333333,0.4375,0.25,0.047619047619047616,15.0,9.75,1.0,21.0
12-kids-lead-poisoning_avg,deepseek-chat,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7261904761904763,2.0,0.0,5.333333333333333,7.333333333333333
13-pilot-curb-evictions_avg,deepseek-chat,0.9047619047619048,0.5256410256410255,0.4761904761904762,0.49786324786324787,0.49786324786324787,0.9444444444444445,0.49786324786324787,0.576923076923077,0.576923076923077,0.0,0.09523809523809523,0.35353535353535354,12.666666666666666,6.333333333333333,7.666666666666667,21.666666666666668
14-many-police-calls_avg,deepseek-chat,0.7304347826086955,0.9057189542483659,0.6608695652173914,0.4519607843137255,0.4401960784313726,0.4883333333333333,0.7184640522875817,0.40915032679738567,0.6588235294117647,0.2782608695652174,0.26956521739130435,0.2565149408433613,16.8,14.0,8.0,31.0
15-Newsom-declares-emergency_avg,deepseek-chat,0.8666666666666667,0.923076923076923,0.8000000000000002,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.25641025641025644,0.4102564102564103,0.4000000000000001,0.13333333333333333,0.2619047619047619,13.0,11.0,5.333333333333333,20.333333333333332
